session_id,count_4624,count_4625,count_4634,count_4648,count_4672,count_4688,count_4689,count_4720,count_4732,count_7045,count_7036,count_4663,count_4656,count_total,td_mean,td_std,td_min,td_max,n_unique_sources,n_unique_users,n_unique_hosts,seq_entropy,label
00092dff-2a40-439a-b1e7-2cf356fe5beb,1,2,1,0,1,3,1,0,0,1,1,1,0,12,56.27272727272727,56.7371786222802,2.0,154.0,2,1,1,3.022055208874201,0
0030cd9c-e108-40ea-9241-6be3db994fcb,1,0,1,0,0,1,1,0,0,0,0,12,0,16,26.333333333333332,53.65403578068993,0.0,167.0,1,1,1,1.311278124459133,1
003cd8fa-29e5-446e-bb14-3da3655b09be,1,0,1,2,0,0,1,0,0,0,0,1,2,8,198.28571428571428,49.84752260849161,98.0,278.0,1,1,1,2.5,0
0044bd11-62de-40e0-be86-9d7a3b69cd14,1,0,0,2,0,0,1,0,0,0,0,9,0,13,32.666666666666664,47.1015451504041,3.0,123.0,1,1,1,1.3520301017579528,1
005ce891-8f99-4759-ae26-efa3b9ae54b6,1,8,0,0,1,1,1,0,0,0,0,0,0,12,11.090909090909092,25.921049871605913,1.0,93.0,1,1,1,1.5849625007211563,1
0065301b-dd30-443d-8208-8e89b48ed658,1,9,1,1,0,0,0,0,0,1,1,1,2,17,59.9375,83.03272604070037,5.0,249.0,2,1,1,2.291620193427939,0
0084a99c-bf1d-42b6-a476-a1a0273cbbf6,1,3,0,1,1,2,1,0,0,0,0,0,3,12,61.54545454545455,89.6481644454015,2.0,277.0,1,1,1,2.625814583693912,0
00877310-4605-4f92-8d93-1e2a8780bee8,1,1,1,1,0,2,3,0,0,0,0,3,1,13,135.66666666666666,89.19765816557194,9.0,284.0,1,1,1,2.8150724101159437,0
008c6d09-ce1d-4080-a0df-59f264b782f4,1,0,1,0,0,2,1,0,0,0,0,13,0,18,25.176470588235293,45.58667929033352,0.0,159.0,1,1,1,1.3862740938959683,1
00cc75d2-4f5b-4b9d-aa8e-e14756f46ec9,1,2,1,0,1,2,2,0,0,1,1,13,2,26,39.0,60.953096721987805,1.0,248.0,2,1,1,2.5425275513782384,0
00d1fe8b-c15f-4e5f-a995-afc2a84e41e5,1,1,0,1,1,2,2,0,0,1,1,3,1,14,116.15384615384616,103.31344849076162,1.0,288.0,2,1,1,3.1820058147602137,0
00d45439-984e-4f7a-96dd-e6f26fe7eabb,1,4,0,0,1,1,1,0,0,0,0,0,0,8,129.85714285714286,75.95003728284343,33.0,223.0,1,1,1,2.0,1
00e50036-2df6-404c-ad06-6e6778a08eba,1,1,1,1,1,2,3,0,0,0,0,14,4,28,54.03703703703704,72.1302738524932,1.0,265.0,1,1,1,2.3767171930943927,0
01005c36-3c3f-4fbf-a5e5-ec1ea685916e,1,2,1,4,0,0,1,0,0,0,0,15,3,27,67.57692307692308,93.0715907563482,2.0,291.0,1,1,1,2.03791541193046,0
0110d91a-0533-4d9b-a1d8-b48db45cf973,1,12,0,1,1,1,0,0,0,0,0,0,1,17,14.125,30.087113105115286,1.0,107.0,1,1,1,1.5569010760354056,1
0111cb5b-9e80-4aae-b697-591d0758d53b,1,5,0,0,1,2,4,0,0,0,0,2,0,15,79.21428571428571,82.63273181583033,3.0,249.0,1,1,1,2.332914563979398,0
011cefa7-07ca-4f81-892c-c9d8e437d638,1,1,1,1,0,1,0,0,0,0,0,1,0,6,106.0,68.0,7.0,219.0,1,1,1,2.584962500721156,0
0137e147-6cf2-4b8a-86cd-40db9d4c6a1b,1,2,1,2,1,1,2,0,0,0,0,1,0,11,36.9,36.508766070630216,1.0,107.0,1,1,1,2.9139770731827523,0
014875b6-0e2a-48ab-974e-8ee50e50278c,1,1,1,2,1,1,2,0,0,1,1,7,1,19,33.77777777777778,50.14374399392605,2.0,211.0,2,1,1,3.0031125421592053,0
014d5ae6-6175-4db3-8487-24d035ad89e0,1,2,1,0,1,3,1,0,0,1,1,16,2,29,34.75,59.3654691598696,1.0,279.0,2,1,1,2.349191770915039,0
01537d1e-3085-43af-a9b1-fa7b408df70b,1,2,1,4,1,2,3,0,0,1,1,6,0,22,83.47619047619048,86.72980431729394,2.0,256.0,2,1,1,2.9928560501604613,0
017c868f-5e3d-4870-95c9-00adb81dff2a,1,0,1,0,0,2,2,0,0,0,0,2,2,10,134.0,83.98544847505165,21.0,282.0,1,1,1,2.5219280948873624,0
0180fc5e-1a66-4512-9f69-328d3f85a019,1,1,0,3,0,0,3,0,0,0,0,3,1,12,127.9090909090909,99.10366890323812,4.0,289.0,1,1,1,2.396240625180289,0
019d7b6a-883c-49f3-ac24-36f66260fab9,1,7,1,3,0,1,1,0,0,0,0,15,1,30,36.93103448275862,57.974388539389125,2.0,191.0,1,1,1,2.139899565918703,0
01b9bde1-c69b-42e8-ad20-750b135c0c02,1,0,0,0,1,1,2,0,0,0,0,0,0,5,20.5,24.984995497297973,2.0,63.0,1,1,1,1.9219280948873625,1
01c7f364-3f39-4004-b96c-bfdbc7487f77,1,0,0,0,1,2,1,0,0,1,1,0,1,8,35.42857142857143,54.45275053490251,1.0,164.0,2,1,1,2.75,1
01cfc429-57a9-4001-9b07-c0b33c3e3dae,1,12,1,1,1,3,3,0,0,1,1,7,2,33,60.5625,80.25503780916186,1.0,266.0,2,1,1,2.7964908021649983,0
01d462a1-27d4-43a1-af87-20075031e758,1,1,1,2,1,3,2,0,0,1,1,0,1,14,81.76923076923077,68.21702229046292,6.0,198.0,2,1,1,3.1820058147602137,0
01dd9eb0-7997-40a3-b55c-164c765478ba,1,1,1,0,0,1,2,0,0,1,1,2,1,11,100.3,67.9323928623157,7.0,213.0,2,1,1,3.095795255000934,0
01e84f5c-9052-4edd-8b99-7e48ba2fbcbe,1,0,1,1,1,2,5,0,0,0,0,3,1,15,104.0,86.28358559342063,11.0,279.0,1,1,1,2.682588730501833,0
01eef681-ef82-4eb7-849f-3d5e64be6d3a,1,0,1,0,0,3,1,0,0,1,1,4,2,14,107.3076923076923,78.71700492209625,19.0,287.0,2,1,1,2.753434386188785,0
0202b6c3-823c-4857-92b1-264baf318418,1,4,1,0,1,1,1,0,0,0,0,0,0,9,102.0,65.11720202834272,0.0,229.0,1,1,1,2.2810361125534233,1
020900ba-509e-4c47-b423-a13ea62ec599,1,1,1,1,0,1,3,0,0,0,0,2,2,12,155.27272727272728,87.38534400634603,10.0,292.0,1,1,1,2.855388542207534,0
0234dbf6-f85f-4d20-8ff6-c34fa5700387,1,2,0,1,1,2,2,0,0,0,0,0,1,10,29.444444444444443,40.51367700778785,3.0,141.0,1,1,1,2.721928094887362,0
023bc4c6-5e0c-49e8-97f0-7d71183562c0,1,15,0,0,0,4,3,0,0,0,0,2,0,25,62.875,88.35690526683997,1.0,292.0,1,1,1,1.7095263323230747,0
023e1139-89f8-4710-b2a9-2fb3e0f5d784,1,0,1,1,0,1,0,0,0,1,1,0,2,8,115.85714285714286,89.95146083373214,22.0,295.0,2,1,1,2.75,0
023f4bca-5f1b-4941-89a9-486c5d755952,1,3,1,0,1,2,0,0,0,0,0,0,0,8,101.42857142857143,98.44484625973084,0.0,254.0,1,1,1,2.1556390622295667,1
024bad56-a281-4df0-b06d-434fb6afbb53,1,0,1,0,0,0,2,0,0,0,0,10,2,16,61.06666666666667,88.84628423418856,2.0,292.0,1,1,1,1.6737949406953987,0
02527f2d-f2d7-4376-9873-9e899d9144fd,1,1,1,0,0,3,2,0,0,1,1,1,0,11,141.1,114.34723433472276,7.0,289.0,2,1,1,2.8453509366224368,0
025ddeed-5b36-45c7-b72b-6261b1179ea4,1,0,0,2,1,1,0,0,0,1,1,0,1,8,41.0,49.90562521972276,1.0,149.0,2,1,1,2.75,1
026f3287-05d8-4d20-9580-3a093721eb1f,1,0,1,0,0,0,2,0,0,0,0,13,1,18,26.647058823529413,50.91739697666105,0.0,172.0,1,1,1,1.3862740938959683,1
02749a20-1b3f-4759-972c-276feeee7ac2,1,2,0,1,1,3,3,0,0,0,0,1,0,12,87.81818181818181,86.0198900697002,1.0,287.0,1,1,1,2.625814583693912,0
027ab660-e932-4a87-9c56-995d4c8a1404,1,1,1,1,0,1,1,0,0,0,0,0,2,8,73.14285714285714,68.07858604253632,7.0,180.0,1,1,1,2.75,0
